[2026-06-06 00:26:58,113] INFO     src.detector              | __init__             | FaceDetector initialized | device=cpu | image_size=160 | min_face=40px
[2026-06-06 00:27:56,566] INFO     src.detector              | __init__             | FaceDetector initialized | device=cpu | image_size=160 | min_face=40px
[2026-06-06 00:29:48,713] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:38,151] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:38,815] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:39,199] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:39,426] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:39,658] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:39,866] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:40,071] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:30:50,310] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:31:05,464] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:31:24,456] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:32:24,943] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:22,282] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:22,925] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:23,240] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:23,461] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:23,676] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:23,883] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:24,095] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:24,315] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.996']
[2026-06-06 00:33:24,503] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.996']
[2026-06-06 00:33:24,618] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:24,758] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:24,887] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:25,020] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:25,154] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.999']
[2026-06-06 00:33:34,191] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:33:49,171] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:09,773] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:10,416] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:10,828] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:11,056] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:11,260] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:11,469] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:11,689] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:11,907] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.996']
[2026-06-06 00:35:12,122] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.996']
[2026-06-06 00:35:12,240] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:12,374] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:12,515] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:12,657] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:12,789] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:12,978] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,158] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,229] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,337] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,446] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,555] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,662] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:13,917] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,135] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,166] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,251] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,332] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,414] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:14,498] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:23,199] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:34,747] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:45,266] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
[2026-06-06 00:35:51,454] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['0.999']
[2026-06-06 00:35:57,501] INFO     src.detector              | detect_faces         | Detected 1 face(s) | confidences: ['1.000']
